song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,12,8,6.5,C#4,61,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-3.5,below primo,-6,-13,none,not assessed,short,step,-1,yes,8,first,no,no,no,
Sunless 01,12,9,1,E4,64,ɛ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,D#4,1.5,below primo,-3,-10,none,not assessed,short,leap-up,3,no,8,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,9,2,C#4,61,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-3.5,below primo,-6,-13,none,not assessed,short,leap-down,-3,no,8,middle,no,no,no,
Sunless 01,12,9,3,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,step,1,no,8,middle,no,no,no,
Sunless 01,12,9,4,A4,69,ɛ,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,D#4,6.5,inside,2,-5,none,not assessed,short,leap-up,7,no,8,middle,yes,no,no,highest of phrase
Sunless 01,12,9,5.5,F#4,66,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,1.5,below primo,-1,-8,none,not assessed,short,leap-down,-3,no,8,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 01,12,9,6,F#4,66,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,1.5,below primo,-1,-8,none,not assessed,short,repeated,0,no,8,last,no,yes,yes,turning pitch 0 to 2 st below
Sunless 01,12,10,1,A#4,70,ɨ,derived from Bozeman tenor-mezzo (stand-in),0.732,crossing,A#3,12.11,inside,3,-4,none,not assessed,short,leap-up,4,yes,9,first,no,no,no,crossing
Sunless 01,12,10,2,E4,64,ɨ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,A#3,6.11,below primo,-3,-10,none,not assessed,short,leap-down,-6,no,9,middle,no,no,no,
Sunless 01,12,10,3,F4,65,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,0.5,below primo,-2,-9,none,not assessed,short,step,1,no,9,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,10,4,G4,67,o,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,C#4,6.5,inside,0,-7,none,not assessed,short,step,2,no,9,middle,no,yes,no,
Sunless 01,12,10,5,A4,69,ʌ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,E4,4.5,inside,2,-5,none,not assessed,short,step,2,no,9,middle,no,no,no,
Sunless 01,12,10,6,A#4,70,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,5.5,inside,3,-4,none,not assessed,short,step,1,no,9,middle,no,no,no,
Sunless 01,12,11,1,C5,72,e,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,D4,10.5,inside,5,-2,none,not assessed,short,step,2,no,9,middle,yes,no,no,highest of phrase
Sunless 01,12,11,2,A#4,70,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,D4,7.96,inside,3,-4,none,not assessed,short,step,-2,no,9,middle,no,no,no,
Sunless 01,12,11,3,C5,72,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,7.5,inside,5,-2,none,not assessed,short,step,2,no,9,middle,yes,no,no,highest of phrase
