song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 02,12,4,1,D4,62,o,Godin band midpoint,0.25,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,2,last,no,not assessed,not assessed,
Sunless 02,12,4,2,D4,62,o,Godin band midpoint,0.5,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,yes,3,first,no,not assessed,not assessed,
Sunless 02,12,4,3,C#4,61,u,Godin band midpoint,0.5,close,G3,6,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,3,middle,no,not assessed,not assessed,
Sunless 02,12,4,4,C#4,61,ʌ,Godin band midpoint,0.375,open,F4,-3.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,3,middle,no,not assessed,not assessed,
Sunless 02,12,4,4.75,C#4,61,i,Godin band midpoint,0.125,close,G3,6,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,3,middle,no,not assessed,not assessed,
Sunless 02,12,5,1,G4,67,ɑ,Godin band midpoint,0.5,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,6,no,3,middle,yes,not assessed,not assessed,
Sunless 02,12,5,2,C4,60,ʌ,Godin band midpoint,0.375,open,F4,-4.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-7,no,3,middle,no,not assessed,not assessed,
Sunless 02,12,5,2.75,C4,60,ɛ,Godin band midpoint,0.125,open,F4,-4.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,3,middle,no,not assessed,not assessed,
Sunless 02,12,5,3,B3,59,ɑ,Godin band midpoint,0.5,open,F4,-5.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-1,no,3,middle,no,not assessed,not assessed,
Sunless 02,12,5,4,A3,57,ʌ,Godin band midpoint,0.25,open,F4,-7.5,not assessed,not assessed,not assessed,3,not assessed,short,step,-2,no,3,last,no,not assessed,not assessed,
Sunless 02,12,5,4.75,A3,57,ɑ,Godin band midpoint,0.125,open,F4,-7.5,not assessed,not assessed,not assessed,3,not assessed,short,repeated,0,yes,4,first,no,not assessed,not assessed,
Sunless 02,12,6,1,D4,62,ɑ,Godin band midpoint,0.167,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,5,no,4,middle,no,not assessed,not assessed,
Sunless 02,12,6,1.333,E4,64,u,Godin band midpoint,0.167,close,G3,9,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,4,middle,no,not assessed,not assessed,
Sunless 02,12,6,1.667,D4,62,ɑ,Godin band midpoint,0.167,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-2,no,4,middle,no,not assessed,not assessed,
Sunless 02,12,6,2,A#4,70,i,Godin band midpoint,0.167,above,G3,15,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,8,no,4,middle,yes,not assessed,not assessed,
Sunless 02,12,6,2.333,D4,62,ɑ,Godin band midpoint,0.167,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-8,no,4,middle,no,not assessed,not assessed,
Sunless 02,12,6,2.667,E4,64,ɪ,Godin band midpoint,0.167,close,A#3,6.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,4,middle,no,not assessed,not assessed,
Sunless 02,12,6,3,F4,65,o,Godin band midpoint,0.5,close,A#3,7.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,4,last,no,not assessed,not assessed,
Sunless 02,12,6,4.5,F4,65,o,Godin band midpoint,0.25,close,A#3,7.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,yes,5,first,no,not assessed,not assessed,
Sunless 02,12,7,1,G4,67,ɨ,not assessed,0.167,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,not assessed,short,step,2,no,5,middle,no,not assessed,not assessed,
Sunless 02,12,7,1.333,D4,62,ʌ,Godin band midpoint,0.167,open,F4,-2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-5,no,5,middle,no,not assessed,not assessed,
Sunless 02,12,7,1.667,E4,64,ɑ,Godin band midpoint,0.167,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,step,2,no,5,middle,no,not assessed,not assessed,
Sunless 02,12,7,2,G4,67,o,Godin band midpoint,0.167,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,5,middle,no,not assessed,not assessed,
Sunless 02,12,7,2.333,E4,64,i,Godin band midpoint,0.167,close,G3,9,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-3,no,5,middle,no,not assessed,not assessed,
