song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,14,9,1,F#4,66,ɛ,Bozeman tenor-mezzo midpoint,0.732,close,D#4,3.5,inside,2,-10,none,not assessed,short,leap-up,3,no,8,middle,no,no,no,
Sunless 01,14,9,2,D#4,63,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-1.5,below primo,-1,-13,none,not assessed,short,leap-down,-3,no,8,middle,no,yes,no,
Sunless 01,14,9,3,E4,64,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-0.5,inside,0,-12,none,not assessed,short,step,1,no,8,middle,no,yes,no,
Sunless 01,14,9,4,B4,71,ɛ,Bozeman tenor-mezzo midpoint,1.098,close,D#4,8.5,inside,7,-5,none,not assessed,short,leap-up,7,no,8,middle,yes,no,no,highest of phrase
Sunless 01,14,9,5.5,G#4,68,ɑ,Bozeman tenor-mezzo midpoint,0.366,close,E4,3.5,inside,4,-8,none,not assessed,short,leap-down,-3,no,8,middle,no,no,no,
Sunless 01,14,9,6,G#4,68,ɑ,Bozeman tenor-mezzo midpoint,0.366,close,E4,3.5,inside,4,-8,none,not assessed,short,repeated,0,no,8,last,no,no,no,
Sunless 01,14,10,1,C5,72,ɨ,derived from Bozeman tenor-mezzo,0.732,above,A#3,14.11,inside,8,-4,none,not assessed,short,leap-up,4,yes,9,first,no,no,no,
Sunless 01,14,10,2,F#4,66,ɨ,derived from Bozeman tenor-mezzo,0.732,close,A#3,8.11,inside,2,-10,none,not assessed,short,leap-down,-6,no,9,middle,no,no,no,
Sunless 01,14,10,3,G4,67,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,2.5,inside,3,-9,none,not assessed,short,step,1,no,9,middle,no,no,no,
Sunless 01,14,10,4,A4,69,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,8.5,inside,5,-7,none,not assessed,short,step,2,no,9,middle,no,no,no,
Sunless 01,14,10,5,B4,71,ʌ,derived from Bozeman tenor-mezzo,0.732,close,E4,6.5,inside,7,-5,none,not assessed,short,step,2,no,9,middle,no,no,no,
Sunless 01,14,10,6,C5,72,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,7.5,inside,8,-4,none,not assessed,short,step,1,no,9,middle,no,no,no,
Sunless 01,14,11,1,D5,74,e,Bozeman tenor-mezzo midpoint,0.732,crossing,D4,12.5,inside,10,-2,none,not assessed,short,step,2,no,9,middle,yes,no,no,highest of phrase; crossing
Sunless 01,14,11,2,C5,72,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,9.96,inside,8,-4,none,not assessed,short,step,-2,no,9,middle,no,no,no,
Sunless 01,14,11,3,D5,74,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,9.5,inside,10,-2,none,not assessed,short,step,2,no,9,middle,yes,no,no,highest of phrase
Sunless 01,14,11,4,A#4,70,e,Bozeman tenor-mezzo midpoint,1.098,close,D4,8.5,inside,6,-6,none,not assessed,short,leap-down,-4,no,9,middle,no,no,no,
Sunless 01,14,11,5.5,A#4,70,i,Bozeman tenor-mezzo midpoint,0.366,above,E3,17.5,inside,6,-6,none,not assessed,short,repeated,0,no,9,middle,no,no,no,
Sunless 01,14,11,6,A#4,70,ɪ,derived from Bozeman tenor-mezzo,0.366,close,D4,7.96,inside,6,-6,none,not assessed,short,repeated,0,no,9,last,no,no,no,
Sunless 01,14,12,1,A4,69,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,8.5,inside,5,-7,none,not assessed,short,step,-1,yes,10,first,no,no,no,
Sunless 01,14,12,2,F#4,66,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,3.96,inside,2,-10,none,not assessed,short,leap-down,-3,no,10,middle,no,no,no,
Sunless 01,14,12,3,A4,69,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,4.5,inside,5,-7,none,not assessed,short,leap-up,3,no,10,middle,no,no,no,
Sunless 01,14,12,4,C5,72,i,Bozeman tenor-mezzo midpoint,0.732,above,E3,19.5,inside,8,-4,none,not assessed,short,leap-up,3,no,10,middle,yes,no,no,highest of phrase
Sunless 01,14,12,5,A4,69,ɨ,derived from Bozeman tenor-mezzo,0.366,close,A#3,11.11,inside,5,-7,none,not assessed,short,leap-down,-3,no,10,last,no,no,no,
Sunless 01,14,12,6,A4,69,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,4.5,inside,5,-7,none,not assessed,short,repeated,0,yes,11,first,no,no,no,
Sunless 01,14,13,1,F#4,66,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,1.5,inside,2,-10,none,not assessed,short,leap-down,-3,no,11,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,14,13,2,E4,64,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,1.96,inside,0,-12,none,not assessed,short,step,-2,no,11,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 01,14,13,3,F#4,66,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,1.5,inside,2,-10,none,not assessed,short,step,2,no,11,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,14,13,4,C5,72,o,Bozeman tenor-mezzo midpoint,1.098,close,C#4,11.5,inside,8,-4,none,not assessed,short,leap-up,6,no,11,middle,yes,no,no,highest of phrase
Sunless 01,14,13,5.5,A4,69,ʌ,derived from Bozeman tenor-mezzo,0.366,close,E4,4.5,inside,5,-7,none,not assessed,short,leap-down,-3,no,11,middle,no,no,no,
Sunless 01,14,13,6,A4,69,ɪ,derived from Bozeman tenor-mezzo,0.366,close,D4,6.96,inside,5,-7,none,not assessed,short,repeated,0,no,11,last,no,no,no,
Sunless 01,14,14,1,C5,72,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,11.5,inside,8,-4,none,not assessed,short,leap-up,3,yes,12,first,no,no,no,
Sunless 01,14,14,2,B4,71,ʌ,derived from Bozeman tenor-mezzo,0.732,close,E4,6.5,inside,7,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,14,14,3,A4,69,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,4.5,inside,5,-7,none,not assessed,short,step,-2,no,12,middle,no,no,no,
Sunless 01,14,14,4,C5,72,e,Bozeman tenor-mezzo midpoint,1.098,close,D4,10.5,inside,8,-4,none,not assessed,short,leap-up,3,no,12,middle,no,no,no,
Sunless 01,14,14,5.5,B4,71,i,Bozeman tenor-mezzo midpoint,0.366,above,E3,18.5,inside,7,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,14,14,6,B4,71,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,8.96,inside,7,-5,none,not assessed,short,repeated,0,no,12,middle,no,no,no,
Sunless 01,14,15,1,C5,72,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,11.5,inside,8,-4,none,not assessed,short,step,1,no,12,middle,no,no,no,
Sunless 01,14,15,2,B4,71,ʌ,derived from Bozeman tenor-mezzo,0.732,close,E4,6.5,inside,7,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,14,15,3,A4,69,ɪ,derived from Bozeman tenor-mezzo,0.732,close,D4,6.96,inside,5,-7,none,not assessed,short,step,-2,no,12,middle,no,no,no,
Sunless 01,14,15,4,D#5,75,e,Bozeman tenor-mezzo midpoint,1.098,above,D4,13.5,inside,11,-1,none,not assessed,short,leap-up,6,no,12,middle,yes,yes,yes,highest of phrase
Sunless 01,14,15,5.5,B4,71,i,Bozeman tenor-mezzo midpoint,0.366,above,E3,18.5,inside,7,-5,none,not assessed,short,leap-down,-4,no,12,middle,no,no,no,
Sunless 01,14,15,6,B4,71,ɪ,derived from Bozeman tenor-mezzo,0.366,close,D4,8.96,inside,7,-5,none,not assessed,short,repeated,0,no,12,last,no,no,no,
Sunless 01,14,16,1,B4,71,o,Bozeman tenor-mezzo midpoint,1.098,close,C#4,10.5,inside,7,-5,none,not assessed,short,repeated,0,yes,13,first,yes,no,no,highest of phrase
Sunless 01,14,16,2.5,G4,67,ɑ,Bozeman tenor-mezzo midpoint,0.366,close,E4,2.5,inside,3,-9,none,not assessed,short,leap-down,-4,no,13,middle,no,no,no,
Sunless 01,14,16,3,G4,67,ɑ,Bozeman tenor-mezzo midpoint,0.366,close,E4,2.5,inside,3,-9,none,not assessed,short,repeated,0,no,13,last,no,no,no,
Sunless 01,14,16,4,A4,69,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,8.5,inside,5,-7,none,not assessed,short,step,2,yes,14,first,yes,no,no,highest of phrase
Sunless 01,14,16,5,E4,64,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-0.5,inside,0,-12,none,not assessed,short,leap-down,-5,no,14,middle,no,yes,no,
Sunless 01,14,16,6,E4,64,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-0.5,inside,0,-12,none,not assessed,short,repeated,0,no,14,last,no,yes,no,
Sunless 01,14,17,1,F#4,66,o,Bozeman tenor-mezzo midpoint,1.463,close,C#4,5.5,inside,2,-10,none,not assessed,short,step,2,yes,15,only,yes,no,no,highest of phrase
Sunless 01,14,17,4,F#4,66,ʌ,derived from Bozeman tenor-mezzo,1.098,close,E4,1.5,inside,2,-10,none,not assessed,short,repeated,0,yes,16,first,no,no,no,turning pitch 0 to 2 st below
Sunless 01,14,17,5.5,F#4,66,i,Bozeman tenor-mezzo midpoint,1.098,above,E3,13.5,inside,2,-10,none,not assessed,short,repeated,0,no,16,middle,no,no,no,
Sunless 01,14,18,1,G#4,68,o,Bozeman tenor-mezzo midpoint,1.098,close,C#4,7.5,inside,4,-8,none,not assessed,short,step,2,no,16,middle,yes,no,no,highest of phrase
Sunless 01,14,18,2.5,E4,64,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-0.5,inside,0,-12,none,not assessed,short,leap-down,-4,no,16,middle,no,yes,no,
Sunless 01,14,18,3,E4,64,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-0.5,inside,0,-12,none,not assessed,short,repeated,0,no,16,last,no,yes,no,
Sunless 02,15,1,2.5,C#5,73,i,Bozeman tenor-mezzo midpoint,0.25,above,E3,20.5,inside,9,-3,none,not assessed,short,first note,,,0,first,yes,no,no,highest of phrase
Sunless 02,15,2,1,C5,72,ɑ,Bozeman tenor-mezzo midpoint,0.25,close,E4,7.5,inside,8,-4,none,not assessed,short,step,-1,no,0,last,no,no,no,
Sunless 02,15,2,2,A4,69,ɨ,derived from Bozeman tenor-mezzo,0.375,close,A#3,11.11,inside,5,-7,none,not assessed,short,leap-down,-3,yes,1,first,yes,no,no,highest of phrase
Sunless 02,15,2,2.75,F4,65,ɑ,Bozeman tenor-mezzo midpoint,0.125,close,E4,0.5,inside,1,-11,none,not assessed,short,leap-down,-4,no,1,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 02,15,2,3,E4,64,ɛ,Bozeman tenor-mezzo midpoint,0.5,close,D#4,1.5,inside,0,-12,none,not assessed,short,step,-1,no,1,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 02,15,2,4,F4,65,ɪ,derived from Bozeman tenor-mezzo,0.25,close,D4,2.96,inside,1,-11,none,not assessed,short,step,1,no,1,middle,no,yes,no,
Sunless 02,15,2,4.5,F4,65,u,Bozeman tenor-mezzo midpoint,0.25,close,G3,10.5,inside,1,-11,none,not assessed,short,repeated,0,no,1,middle,no,yes,no,
Sunless 02,15,3,1,A4,69,ɑ,Bozeman tenor-mezzo midpoint,0.5,close,E4,4.5,inside,5,-7,none,not assessed,short,leap-up,4,no,1,middle,yes,no,no,highest of phrase
Sunless 02,15,3,2,F4,65,ɑ,Bozeman tenor-mezzo midpoint,0.25,close,E4,0.5,inside,1,-11,none,not assessed,short,leap-down,-4,no,1,last,no,yes,yes,turning pitch 0 to 2 st below
Sunless 02,15,3,2.75,F4,65,o,Bozeman tenor-mezzo midpoint,0.125,close,C#4,4.5,inside,1,-11,none,not assessed,short,repeated,0,yes,2,first,no,yes,no,
Sunless 02,15,3,3,G#4,68,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,3.5,inside,4,-8,none,not assessed,short,leap-up,3,no,2,middle,yes,no,no,highest of phrase
Sunless 02,15,3,3.333,F4,65,ɪ,derived from Bozeman tenor-mezzo,0.167,close,D4,2.96,inside,1,-11,none,not assessed,short,leap-down,-3,no,2,middle,no,yes,no,
Sunless 02,15,3,3.667,G#4,68,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,3.5,inside,4,-8,none,not assessed,short,leap-up,3,no,2,middle,yes,no,no,highest of phrase
Sunless 02,15,3,4,G4,67,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,2.5,inside,3,-9,none,not assessed,short,step,-1,no,2,middle,no,no,no,
Sunless 02,15,3,4.333,G4,67,i,Bozeman tenor-mezzo midpoint,0.167,above,E3,14.5,inside,3,-9,none,not assessed,short,repeated,0,no,2,middle,no,no,no,
