song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,5,13,1,A3,57,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-7.5,below primo,-5,-10,3,not assessed,short,leap-down,-3,no,11,middle,no,no,no,
Sunless 01,5,13,2,G3,55,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-7.04,below primo,-7,-12,3,not assessed,short,step,-2,no,11,middle,no,no,no,
Sunless 01,5,13,3,A3,57,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-7.5,below primo,-5,-10,3,not assessed,short,step,2,no,11,middle,no,no,no,
Sunless 01,5,13,4,D#4,63,o,Bozeman tenor-mezzo midpoint,1.098,close,C#4,2.5,inside,1,-4,none,not assessed,short,leap-up,6,no,11,middle,yes,no,no,highest of phrase
Sunless 01,5,13,5.5,C4,60,ʌ,derived from Bozeman tenor-mezzo,0.366,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,leap-down,-3,no,11,middle,no,no,no,
Sunless 01,5,13,6,C4,60,ɪ,derived from Bozeman tenor-mezzo,0.366,open,D4,-2.04,below primo,-2,-7,none,not assessed,short,repeated,0,no,11,last,no,no,no,
Sunless 01,5,14,1,D#4,63,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,2.5,inside,1,-4,none,not assessed,short,leap-up,3,yes,12,first,no,no,no,
Sunless 01,5,14,2,D4,62,ʌ,derived from Bozeman tenor-mezzo,0.732,open,E4,-2.5,inside,0,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,5,14,3,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,step,-2,no,12,middle,no,no,no,
Sunless 01,5,14,4,D#4,63,e,Bozeman tenor-mezzo midpoint,1.098,close,D4,1.5,inside,1,-4,none,not assessed,short,leap-up,3,no,12,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,5,14,5.5,D4,62,i,Bozeman tenor-mezzo midpoint,0.366,close,E3,9.5,inside,0,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,5,14,6,D4,62,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-0.04,inside,0,-5,none,not assessed,short,repeated,0,no,12,middle,no,no,no,
Sunless 01,5,15,1,D#4,63,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,2.5,inside,1,-4,none,not assessed,short,step,1,no,12,middle,no,no,no,
Sunless 01,5,15,2,D4,62,ʌ,derived from Bozeman tenor-mezzo,0.732,open,E4,-2.5,inside,0,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,5,15,3,C4,60,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-2.04,below primo,-2,-7,none,not assessed,short,step,-2,no,12,middle,no,no,no,
Sunless 01,5,15,4,F#4,66,e,Bozeman tenor-mezzo midpoint,1.098,close,D4,4.5,inside,4,-1,none,not assessed,short,leap-up,6,no,12,middle,yes,yes,yes,highest of phrase
Sunless 01,5,15,5.5,D4,62,i,Bozeman tenor-mezzo midpoint,0.366,close,E3,9.5,inside,0,-5,none,not assessed,short,leap-down,-4,no,12,middle,no,no,no,
Sunless 01,5,15,6,D4,62,ɪ,derived from Bozeman tenor-mezzo,0.366,open,D4,-0.04,inside,0,-5,none,not assessed,short,repeated,0,no,12,last,no,no,no,
Sunless 01,5,16,1,D4,62,o,Bozeman tenor-mezzo midpoint,1.098,close,C#4,1.5,inside,0,-5,none,not assessed,short,repeated,0,yes,13,first,yes,no,no,highest of phrase; turning pitch 0 to 2 st below
Sunless 01,5,16,2.5,A#3,58,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-6.5,below primo,-4,-9,none,not assessed,short,leap-down,-4,no,13,middle,no,no,no,
Sunless 01,5,16,3,A#3,58,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-6.5,below primo,-4,-9,none,not assessed,short,repeated,0,no,13,last,no,no,no,
Sunless 01,5,16,4,C4,60,o,Bozeman tenor-mezzo midpoint,0.732,open,C#4,-0.5,below primo,-2,-7,none,not assessed,short,step,2,yes,14,first,yes,no,no,highest of phrase
Sunless 01,5,16,5,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,leap-down,-5,no,14,middle,no,no,no,
Sunless 01,5,16,6,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,repeated,0,no,14,last,no,no,no,
Sunless 01,5,17,1,A3,57,o,Bozeman tenor-mezzo midpoint,1.463,open,C#4,-3.5,below primo,-5,-10,none,not assessed,short,step,2,yes,15,only,yes,no,no,highest of phrase
Sunless 01,5,17,4,A3,57,ʌ,derived from Bozeman tenor-mezzo,1.098,open,E4,-7.5,below primo,-5,-10,3,not assessed,short,repeated,0,yes,16,first,no,no,no,
Sunless 01,5,17,5.5,A3,57,i,Bozeman tenor-mezzo midpoint,1.098,close,E3,4.5,below primo,-5,-10,none,not assessed,short,repeated,0,no,16,middle,no,no,no,
Sunless 01,5,18,1,B3,59,o,Bozeman tenor-mezzo midpoint,1.098,open,C#4,-1.5,below primo,-3,-8,none,not assessed,short,step,2,no,16,middle,yes,no,no,highest of phrase
Sunless 01,5,18,2.5,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,leap-down,-4,no,16,middle,no,no,no,
Sunless 01,5,18,3,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,repeated,0,no,16,last,no,no,no,
Sunless 02,6,1,2.5,E4,64,i,Bozeman tenor-mezzo midpoint,0.25,crossing,E3,11.5,inside,2,-3,none,not assessed,short,first note,,,0,first,yes,no,no,highest of phrase; crossing
Sunless 02,6,2,1,D#4,63,ɑ,Bozeman tenor-mezzo midpoint,0.25,open,E4,-1.5,inside,1,-4,none,not assessed,short,step,-1,no,0,last,no,no,no,
Sunless 02,6,2,2,C4,60,ɨ,derived from Bozeman tenor-mezzo,0.375,close,A#3,2.11,below primo,-2,-7,none,not assessed,short,leap-down,-3,yes,1,first,yes,no,no,highest of phrase
Sunless 02,6,2,2.75,G#3,56,ɑ,Bozeman tenor-mezzo midpoint,0.125,open,E4,-8.5,below primo,-6,-11,none,not assessed,short,leap-down,-4,no,1,middle,no,no,no,
Sunless 02,6,2,3,G3,55,ɛ,Bozeman tenor-mezzo midpoint,0.5,open,D#4,-7.5,below primo,-7,-12,3,not assessed,short,step,-1,no,1,middle,no,no,no,
Sunless 02,6,2,4,G#3,56,ɪ,derived from Bozeman tenor-mezzo,0.25,open,D4,-6.04,below primo,-6,-11,none,not assessed,short,step,1,no,1,middle,no,no,no,
Sunless 02,6,2,4.5,G#3,56,u,Bozeman tenor-mezzo midpoint,0.25,close,G3,1.5,below primo,-6,-11,none,not assessed,short,repeated,0,no,1,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 02,6,3,1,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.5,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,leap-up,4,no,1,middle,yes,no,no,highest of phrase
Sunless 02,6,3,2,G#3,56,ɑ,Bozeman tenor-mezzo midpoint,0.25,open,E4,-8.5,below primo,-6,-11,none,not assessed,short,leap-down,-4,no,1,last,no,no,no,
Sunless 02,6,3,2.75,G#3,56,o,Bozeman tenor-mezzo midpoint,0.125,open,C#4,-4.5,below primo,-6,-11,none,not assessed,short,repeated,0,yes,2,first,no,no,no,
Sunless 02,6,3,3,B3,59,ɑ,Bozeman tenor-mezzo midpoint,0.167,open,E4,-5.5,below primo,-3,-8,none,not assessed,short,leap-up,3,no,2,middle,yes,no,no,highest of phrase
Sunless 02,6,3,3.333,G#3,56,ɪ,derived from Bozeman tenor-mezzo,0.167,open,D4,-6.04,below primo,-6,-11,none,not assessed,short,leap-down,-3,no,2,middle,no,no,no,
Sunless 02,6,3,3.667,B3,59,ɑ,Bozeman tenor-mezzo midpoint,0.167,open,E4,-5.5,below primo,-3,-8,none,not assessed,short,leap-up,3,no,2,middle,yes,no,no,highest of phrase
Sunless 02,6,3,4,A#3,58,ɑ,Bozeman tenor-mezzo midpoint,0.167,open,E4,-6.5,below primo,-4,-9,none,not assessed,short,step,-1,no,2,middle,no,no,no,
Sunless 02,6,3,4.333,A#3,58,i,Bozeman tenor-mezzo midpoint,0.167,close,E3,5.5,below primo,-4,-9,none,not assessed,short,repeated,0,no,2,middle,no,no,no,
Sunless 02,6,3,4.667,B3,59,ɪ,derived from Bozeman tenor-mezzo,0.167,open,D4,-3.04,below primo,-3,-8,none,not assessed,short,step,1,no,2,middle,yes,no,no,highest of phrase
Sunless 02,6,4,1,G#3,56,o,Bozeman tenor-mezzo midpoint,0.25,open,C#4,-4.5,below primo,-6,-11,none,not assessed,short,leap-down,-3,no,2,last,no,no,no,
Sunless 02,6,4,2,G#3,56,o,Bozeman tenor-mezzo midpoint,0.5,open,C#4,-4.5,below primo,-6,-11,none,not assessed,short,repeated,0,yes,3,first,no,no,no,
Sunless 02,6,4,3,G3,55,u,Bozeman tenor-mezzo midpoint,0.5,close,G3,0.5,below primo,-7,-12,none,not assessed,short,step,-1,no,3,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 02,6,4,4,G3,55,ʌ,derived from Bozeman tenor-mezzo,0.375,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,repeated,0,no,3,middle,no,no,no,
Sunless 02,6,4,4.75,G3,55,i,Bozeman tenor-mezzo midpoint,0.125,close,E3,2.5,below primo,-7,-12,none,not assessed,short,repeated,0,no,3,middle,no,no,no,
Sunless 02,6,5,1,C#4,61,ɑ,Bozeman tenor-mezzo midpoint,0.5,open,E4,-3.5,below primo,-1,-6,none,not assessed,short,leap-up,6,no,3,middle,yes,no,no,highest of phrase
Sunless 02,6,5,2,F#3,54,ʌ,derived from Bozeman tenor-mezzo,0.375,open,E4,-10.5,below primo,-8,-13,none,not assessed,short,leap-down,-7,no,3,middle,no,no,no,
